,beta,alpha,lp__
219,0.00018256677496780553,0.0024250943612745945,-1200.1626569810062
220,0.00011834458534074288,0.0024394618755415568,-1201.127217042653
221,0.00014450442343101505,0.0024859570941873415,-1200.4475696081975
222,0.00014251711748974186,0.0024825243773769975,-1200.4677771216584
223,0.00016840402383620732,0.0023891776253058975,-1200.2014961112104
224,0.00017789507454276282,0.002400671174914187,-1200.1762554392176
225,0.00019976467553701782,0.002360207129078239,-1200.5954733181975
226,0.0002149907202890228,0.0024518739122987767,-1200.6989800754357
227,9.987690850412069e-05,0.0023465594548603605,-1202.659705282165
228,9.558173470384612e-05,0.0026064466127916765,-1203.7782105474905
229,0.00013814475747982993,0.002522434582116817,-1200.811933311354
230,0.00018214011643889898,0.0025979638705262717,-1201.4847566297503
231,0.0001658383102960548,0.0024049276626933683,-1200.1513570530376
232,0.00017635383842437276,0.0023580823775977092,-1200.390167060741
233,0.0001752067957479272,0.002344697538250939,-1200.4952577943075
234,0.00015123778911763883,0.0022116551907138114,-1202.819428333612
235,0.00017613933646617772,0.0023238929362528744,-1200.7032619816996
236,0.00011639678558934993,0.002352352515435361,-1201.602023983664
237,0.0001394218875091949,0.0023949300574463363,-1200.5122541076707
238,0.00015622939336369112,0.0025675821260170146,-1201.0165823759585
239,0.00010974668753949757,0.0023878568801578687,-1201.702744661242
240,0.00014578963207715232,0.002326912745253505,-1200.8963774760866
241,0.00022375808343063041,0.002467906079073667,-1200.9707616673868
242,0.00020502374797942593,0.0022960367689683217,-1201.3319068914846
243,0.00016458269164282112,0.002352491713783797,-1200.439384521405
244,0.00011155264160683096,0.0022632579566657747,-1203.0854089192876
245,0.00013469847415164703,0.0022558671709829946,-1202.2396314226128
246,0.00018381149858935338,0.0024630600393477304,-1200.2253908843209
247,0.00015530185830302153,0.0023272029273515744,-1200.7518450766352
248,0.00013323434828159227,0.0024993017763208793,-1200.7713193306229
249,0.0001247735271630508,0.002514920794583569,-1201.143814830025
250,0.00019359952170891576,0.002470015630577384,-1200.3616457271903
251,0.00010191993862694017,0.0022564297531860915,-1203.8354534702426
252,0.00016568054818751898,0.0022994885535968595,-1201.0150450669976
253,0.00013269313626580135,0.002547956489483405,-1201.1848046842138
254,0.00016376415183977158,0.0025232351740880204,-1200.513871007675
255,0.0001582023692686893,0.0023667932769349327,-1200.373525546337
256,0.00017813944504425008,0.0023225359794462534,-1200.724358494975
257,0.00012999690333958682,0.0024291416020792316,-1200.68593603758
258,0.00019501930501034827,0.002318042465563201,-1200.9120094362445
259,0.00014027787813279205,0.002543005853108433,-1200.9538487965897
260,0.00014287824665098009,0.0024740093387333327,-1200.4259431157525
261,0.00010243880671049529,0.002389492597970675,-1202.1542562396612
262,0.00011341488712453423,0.0024450318811320487,-1201.3659137800562
263,0.0001235559895460285,0.0025416446326891433,-1201.4157206703967
