,beta,alpha,lp__
127,0.0004449071043131951,0.004382346713559728,-1950.6540678146328
128,0.0004465408222322998,0.004276038380432357,-1949.588278734105
129,0.0004957101659797084,0.004230107208836255,-1950.108502669325
130,0.0005243670363454864,0.004229682299620502,-1950.7179179057919
131,0.00038424991331670983,0.0043176698739401075,-1949.931578323889
132,0.00035228668327302355,0.004350546993968067,-1950.7425812684396
133,0.0003928077760314126,0.004246496587140314,-1949.5993577846777
134,0.00034648147729213696,0.004172628249931544,-1950.9061704949631
135,0.0003488225773899632,0.004307564587827124,-1950.4947859935605
136,0.00039510846175161006,0.004271091905856598,-1949.6001579272966
137,0.00035949478809728873,0.0040018613876236855,-1954.0811236409622
138,0.00043413505676949816,0.004280827730500506,-1949.5430643146524
139,0.0003687048687922331,0.004271261486638033,-1949.9481103144806
140,0.000390813921275586,0.004351282367927819,-1950.1803989955679
141,0.0004121782617180596,0.004122337592355181,-1950.3718097423127
142,0.00037585961812869377,0.004229339340258709,-1949.8533049328403
143,0.00044456409114043075,0.004201224008083788,-1949.580680983594
144,0.0004328510007319201,0.004211970071489599,-1949.5033383086052
145,0.0004155178154775571,0.00423606666624176,-1949.4610056812148
146,0.0003722520064185419,0.004424342463688226,-1951.4591145335592
147,0.0004118329369555014,0.004376789636046549,-1950.421465394603
148,0.0005002428229728671,0.004533034152090722,-1955.3488122795059
149,0.00036246603940374896,0.004185669523615516,-1950.3655247467718
150,0.0003739301443604723,0.00429072096527607,-1949.9158334710405
151,0.00042842812148519095,0.004346869763959357,-1950.0567136958039
152,0.0004644131375976133,0.004120688948758635,-1950.419424597958
153,0.0004112031400875611,0.004139373441295286,-1950.145489091933
154,0.0004101702067864733,0.004154615128171795,-1949.9733251240696
155,0.0004952956015572912,0.004062367691221302,-1951.7201001354551
156,0.0003471667182127942,0.0045321496802906095,-1954.4371469416826
157,0.000486356410452406,0.004321985164767441,-1950.4312260914407
158,0.000421128676821432,0.004101998602073707,-1950.6393888950035
