well,bf,gfp,time,experiment,defect,nuclease
3,1,0,0,CGG_SpCas9,CGG,SpCas9
3,1,0,20,CGG_SpCas9,CGG,SpCas9
3,1,0,40,CGG_SpCas9,CGG,SpCas9
3,1,0,60,CGG_SpCas9,CGG,SpCas9
3,1,0,80,CGG_SpCas9,CGG,SpCas9
3,1,0,100,CGG_SpCas9,CGG,SpCas9
3,1,0,120,CGG_SpCas9,CGG,SpCas9
3,1,0,140,CGG_SpCas9,CGG,SpCas9
3,1,0,160,CGG_SpCas9,CGG,SpCas9
3,1,0,180,CGG_SpCas9,CGG,SpCas9
3,1,0,200,CGG_SpCas9,CGG,SpCas9
3,1,0,220,CGG_SpCas9,CGG,SpCas9
3,1,0,240,CGG_SpCas9,CGG,SpCas9
3,1,0,260,CGG_SpCas9,CGG,SpCas9
3,1,0,280,CGG_SpCas9,CGG,SpCas9
3,1,0,300,CGG_SpCas9,CGG,SpCas9
3,1,0,320,CGG_SpCas9,CGG,SpCas9
3,1,0,340,CGG_SpCas9,CGG,SpCas9
3,1,0,360,CGG_SpCas9,CGG,SpCas9
3,2,0,380,CGG_SpCas9,CGG,SpCas9
3,2,0,400,CGG_SpCas9,CGG,SpCas9
3,2,0,420,CGG_SpCas9,CGG,SpCas9
3,2,0,440,CGG_SpCas9,CGG,SpCas9
3,2,0,460,CGG_SpCas9,CGG,SpCas9
3,2,0,480,CGG_SpCas9,CGG,SpCas9
3,3,0,500,CGG_SpCas9,CGG,SpCas9
3,3,0,520,CGG_SpCas9,CGG,SpCas9
3,3,0,540,CGG_SpCas9,CGG,SpCas9
3,3,0,560,CGG_SpCas9,CGG,SpCas9
3,3,0,580,CGG_SpCas9,CGG,SpCas9
3,4,0,600,CGG_SpCas9,CGG,SpCas9
3,4,0,620,CGG_SpCas9,CGG,SpCas9
3,5,0,640,CGG_SpCas9,CGG,SpCas9
3,7,0,660,CGG_SpCas9,CGG,SpCas9
3,7,0,680,CGG_SpCas9,CGG,SpCas9
3,7,0,700,CGG_SpCas9,CGG,SpCas9
3,7,0,720,CGG_SpCas9,CGG,SpCas9
3,8,0,740,CGG_SpCas9,CGG,SpCas9
3,8,0,760,CGG_SpCas9,CGG,SpCas9
3,9,0,780,CGG_SpCas9,CGG,SpCas9
3,9,0,800,CGG_SpCas9,CGG,SpCas9
3,10,0,820,CGG_SpCas9,CGG,SpCas9
3,11,0,840,CGG_SpCas9,CGG,SpCas9
3,12,0,860,CGG_SpCas9,CGG,SpCas9
3,12,0,880,CGG_SpCas9,CGG,SpCas9
3,14,0,900,CGG_SpCas9,CGG,SpCas9
3,14,0,920,CGG_SpCas9,CGG,SpCas9
3,14,0,940,CGG_SpCas9,CGG,SpCas9
3,17,0,960,CGG_SpCas9,CGG,SpCas9
